[Mon Apr 29 05:48:29.575681 2024] [fcgid:warn] [pid 1215834:tid 121337044416256] [client 66.33.200.4:24733] mod_fcgid: stderr: setting hooks for activation sna deactivation
[Mon Apr 29 05:48:30.667650 2024] [fcgid:warn] [pid 1215834:tid 121345508857600] [client 173.236.246.240:39626] mod_fcgid: stderr: setting hooks for activation sna deactivation
[Mon Apr 29 11:12:52.762290 2024] [fcgid:warn] [pid 1264554:tid 121341235984128] [client 173.236.246.240:34454] mod_fcgid: stderr: setting hooks for activation sna deactivation
[Mon Apr 29 11:12:52.784344 2024] [fcgid:warn] [pid 1264554:tid 121348174345984] [remote 82.40.67.87:50379] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/rules/card-spreads/
[Mon Apr 29 11:12:52.784394 2024] [fcgid:warn] [pid 1264554:tid 121348174345984] [remote 82.40.67.87:50379] mod_fcgid: stderr: underOver, referer: https://t13.cjmoseley.co.uk/rules/card-spreads/
[Mon Apr 29 11:12:55.037578 2024] [fcgid:warn] [pid 1264554:tid 121348355168000] [remote 82.40.67.87:50379] mod_fcgid: stderr: setting hooks for activation sna deactivation
[Mon Apr 29 11:12:56.263060 2024] [fcgid:warn] [pid 1264554:tid 121348494526208] [remote 82.40.67.87:50379] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/index.php
[Mon Apr 29 11:12:58.744549 2024] [fcgid:warn] [pid 1264554:tid 121337849325312] [client 173.236.246.240:32994] mod_fcgid: stderr: setting hooks for activation sna deactivation
[Mon Apr 29 11:12:59.046395 2024] [fcgid:warn] [pid 1264554:tid 121348424828672] [remote 82.40.67.87:50379] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/post.php?post=24&action=edit
[Mon Apr 29 11:13:05.162865 2024] [fcgid:warn] [pid 1264554:tid 121348459960064] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/post.php?post=24&action=edit
[Mon Apr 29 11:13:05.175154 2024] [fcgid:warn] [pid 1264554:tid 121348228560640] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/post.php?post=24&action=edit
[Mon Apr 29 11:13:05.470472 2024] [fcgid:warn] [pid 1264554:tid 121348192388864] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/post.php?post=24&action=edit
[Mon Apr 29 11:13:05.483702 2024] [fcgid:warn] [pid 1264554:tid 121348255819520] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/post.php?post=24&action=edit
[Mon Apr 29 11:13:06.193099 2024] [fcgid:warn] [pid 1264554:tid 121347212859136] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/post.php?post=24&action=edit
[Mon Apr 29 11:13:06.371589 2024] [fcgid:warn] [pid 1264554:tid 121348219442944] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/rules/geometry-gematria-and-numerology/
[Mon Apr 29 11:13:06.655952 2024] [fcgid:warn] [pid 1264554:tid 121347897296640] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/post.php?post=24&action=edit
[Mon Apr 29 11:13:06.726032 2024] [fcgid:warn] [pid 1264554:tid 121348138444544] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/post.php?post=24&action=edit
[Mon Apr 29 11:13:07.205690 2024] [fcgid:warn] [pid 1264554:tid 121347923990272] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/post.php?post=24&action=edit
[Mon Apr 29 11:13:07.296919 2024] [fcgid:warn] [pid 1264554:tid 121347756918528] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/post.php?post=24&action=edit
[Mon Apr 29 11:13:07.470821 2024] [fcgid:warn] [pid 1264554:tid 121348459960064] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/post.php?post=24&action=edit
[Mon Apr 29 11:13:08.482669 2024] [fcgid:warn] [pid 1264554:tid 121348389594880] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/post.php?post=24&action=edit
[Mon Apr 29 11:13:09.814866 2024] [fcgid:warn] [pid 1264554:tid 121348237694720] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/post.php?post=24&action=edit
[Mon Apr 29 11:13:10.171405 2024] [fcgid:warn] [pid 1264554:tid 121348265092864] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/rules/subplots/
[Mon Apr 29 11:13:11.302765 2024] [fcgid:warn] [pid 1264554:tid 121346059716352] [client 173.236.246.240:51794] mod_fcgid: stderr: setting hooks for activation sna deactivation
[Mon Apr 29 11:13:11.335424 2024] [fcgid:warn] [pid 1264554:tid 121348156040960] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/rules/patterns-extras-descendants/
[Mon Apr 29 11:13:11.554671 2024] [fcgid:warn] [pid 1264554:tid 121348021847808] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/rules/patterns-extras-descendants/
[Mon Apr 29 11:13:11.734316 2024] [fcgid:warn] [pid 1264554:tid 121347977189120] [remote 82.40.67.87:50519] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/rules/patterns-extras-descendants/
[Mon Apr 29 11:13:46.774040 2024] [fcgid:warn] [pid 1264554:tid 121348486043392] [remote 82.40.67.87:50958] mod_fcgid: stderr: setting hooks for activation sna deactivation, referer: https://t13.cjmoseley.co.uk/wp-admin/edit.php?post_type=rules&paged=2
